"field_id","owner","concept","java_name","java_type","db_column","sql_type","api_name","typescript_type","nullable","validation","release","data_classification","reference"
"FS-ID","FS-ID-AUDIT","Identificador","id","UUID","id","uuid","id","string","NO","UUID gerado pela aplicação","MVP","INTERNAL","ADR-002"
"FS-CREATED-AT","FS-ID-AUDIT","Criação","createdAt","Instant","created_at","timestamptz","createdAt","string","NO","UTC; somente criação","MVP","INTERNAL","ADR-010"
"FS-UPDATED-AT","FS-ID-AUDIT","Última atualização","updatedAt","Instant","updated_at","timestamptz","updatedAt","string","NO","UTC; atualizado automaticamente","MVP","INTERNAL","ADR-010"
"FS-VERSION","FS-ID-AUDIT","Versão otimista","version","Long","version","bigint","version","number","NO","Inteiro >= 0","MVP","INTERNAL","RNF-DAD-005"
"FS-TENANT-ID","FS-TENANT","Tenant proprietário","tenantId","UUID","tenant_id","uuid","tenantId","string","NO","Derivado do contexto","MVP","INTERNAL","ENT-TENANT"
"FS-DELETED-AT","FS-SOFT-DELETE","Arquivamento","deletedAt","Instant","deleted_at","timestamptz","-","never","YES","UTC","MVP","INTERNAL","RN-CLI-002"
"FS-DELETED-BY","FS-SOFT-DELETE","Autor do arquivamento","deletedBy","UUID","deleted_by","uuid","-","never","YES","Usuário autorizado","MVP","INTERNAL","ENT-USER"
"TEN-TRADE-NAME","ENT-TENANT","Nome fantasia","tradeName","String","trade_name","varchar(120)","tradeName","string","NO","2..120","MVP","PUBLIC","RF-TEN-002"
"TEN-LEGAL-NAME","ENT-TENANT","Razão social","legalName","String","legal_name","varchar(180)","legalName","string","YES","2..180","MVP","PERSONAL","RF-TEN-002"
"TEN-DOCUMENT","ENT-TENANT","CPF ou CNPJ","document","String","document","varchar(14)","document","string","YES","11 ou 14 dígitos; único quando informado","MVP","PERSONAL","RF-TEN-002"
"TEN-STATUS","ENT-TENANT","Estado do tenant","status","TenantStatus","status","varchar(20)","status","TenantStatus","NO","Enum canônico","MVP","INTERNAL","TenantStatus"
"TEN-TIMEZONE","ENT-TENANT","Fuso padrão","defaultTimeZone","ZoneId","default_time_zone","varchar(60)","defaultTimeZone","string","NO","IANA timezone","MVP","INTERNAL","ADR-010"
"TEN-LOCALE","ENT-TENANT","Localidade","locale","String","locale","varchar(16)","locale","string","NO","BCP 47; padrão pt-BR","MVP","INTERNAL","RF-TEN-002"
"TEN-CURRENCY","ENT-TENANT","Moeda","currency","Currency","currency","char(3)","currency","string","NO","ISO 4217; padrão BRL","MVP","INTERNAL","ADR-011"
"TEN-EMAIL","ENT-TENANT","E-mail comercial","email","String","email","varchar(254)","email","string","YES","E-mail válido","MVP","PERSONAL","RF-TEN-002"
"TEN-PHONE","ENT-TENANT","Telefone comercial","phone","String","phone","varchar(20)","phone","string","YES","E.164 quando possível","MVP","PERSONAL","RF-TEN-002"
"TEN-LOGO-URL","ENT-TENANT","Logo","logoUrl","URI","logo_url","varchar(500)","logoUrl","string","YES","HTTPS ou storage interno","MVP","PUBLIC","RF-TEN-005"
