"requirement_id","business_rule_ids","entity_ids","api_operation_ids","screen_ids","test_case_ids","release"
"RF-AUT-001","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-USER-SESSION","login","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF001|CT-AUT-001|CT-AUT-002","MVP"
"RF-AUT-002","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-USER-SESSION","refreshSession","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF002|CT-AUT-003","MVP"
"RF-AUT-003","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-USER-SESSION","logout","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF003","MVP"
"RF-AUT-004","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-USER-SESSION","logoutAllSessions","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF004","MVP"
"RF-AUT-005","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-AUTH-CHALLENGE","requestPasswordRecovery|completePasswordRecovery","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF005","MVP"
"RF-AUT-006","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-USER-SESSION","changePassword","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF006","MVP"
"RF-AUT-007","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-USER-SESSION","login|requestPasswordRecovery","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF007","MVP"
"RF-AUT-008","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-USER-SESSION","listSessions|revokeSession","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF008","MVP"
"RF-AUT-009","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-AUTH-CHALLENGE","requestContactVerification|confirmContactVerification","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF009","INTERMEDIARIO"
"RF-AUT-010","RN-AUT-001|RN-AUT-002|RN-AUT-003","ENT-USER|ENT-AUTH-CHALLENGE","configureMfa|verifyMfa","TEL-AUT-LOGIN|TEL-AUT-RECOVERY","CT-AUT-RF010","FINAL"
"RF-TEN-001","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","createTenant","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF001","MVP"
"RF-TEN-002","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","getCurrentTenant|updateCurrentTenant|getCurrentUnit|updateCurrentUnit","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF002","MVP"
"RF-TEN-003","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT|ENT-UNIT-OPENING-HOUR","updateCurrentUnit","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF003","MVP"
"RF-TEN-004","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","adminChangeTenantStatus","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF004","MVP"
"RF-TEN-005","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","updateCurrentTenant|uploadTenantLogo","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF005","MVP"
"RF-TEN-006","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF006|CT-TEN-001|CT-TEN-002","MVP"
"RF-TEN-007","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","listUnits|createUnit|updateUnit","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF007","FINAL"
"RF-TEN-008","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","getConsolidatedReport","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF008|CT-UNT-001","FINAL"
"RF-TEN-009","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","transferBarberUnit","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF009","FINAL"
"RF-TEN-010","RN-TEN-001|RN-TEN-002|RN-TEN-003","ENT-TENANT|ENT-UNIT","createStockTransfer","TEL-TEN-SETTINGS|TEL-UNIT-SWITCHER|TEL-UNIT-CONSOLIDATED","CT-TEN-RF010","FINAL"
"RF-USR-001","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","inviteUser","TEL-USR-TEAM","CT-USR-RF001","MVP"
"RF-USR-002","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","updateUserMembership","TEL-USR-TEAM","CT-USR-RF002","MVP"
"RF-USR-003","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","updateUserMembership","TEL-USR-TEAM","CT-USR-RF003","MVP"
"RF-USR-004","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","getCurrentUser|updateCurrentUser","TEL-USR-TEAM","CT-USR-RF004","MVP"
"RF-USR-005","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","listUsers","TEL-USR-TEAM","CT-USR-RF005","MVP"
"RF-USR-006","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","revokeUserMembership","TEL-USR-TEAM","CT-USR-RF006","MVP"
"RF-USR-007","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","updateUserMembership","TEL-USR-TEAM","CT-USR-RF007","INTERMEDIARIO"
"RF-USR-008","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","updateUserMembership","TEL-USR-TEAM","CT-USR-RF008","INTERMEDIARIO"
"RF-USR-009","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-USER-SESSION|ENT-AUDIT-LOG","listAuditLogs","TEL-USR-TEAM","CT-USR-RF009","INTERMEDIARIO"
"RF-USR-010","RN-USR-001|RN-USR-002|RN-TEN-001|RN-TEN-002","ENT-USER|ENT-USER-MEMBERSHIP|ENT-ROLE|ENT-AUDIT-LOG","listRoles|createRole|updateRole","TEL-USR-TEAM","CT-USR-RF010","FINAL"
"RF-CLI-001","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","listCustomers|createCustomer","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF001","MVP"
"RF-CLI-002","RN-CLI-001|RN-CLI-002|RN-CLI-003","ENT-CUSTOMER|ENT-APPOINTMENT","updateCustomer","TEL-CLI-LIST|TEL-CLI-DETAIL","CT-CLI-RF002","MVP"
